SMILES,chembl_pxr_pchembl
CC(C)(C)NC(=O)C(c1ccccn1)n1ccc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,6.22
CC(C)(C)NC(=O)Cn1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,4.97
CC(C)(C)NC(=O)Cn1c(-c2ccc(F)cc2F)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,6.03
CC(C)(C)NC(=O)Cn1c(-c2ccccc2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,5.74
CC(C)(C)NC(=O)Cn1c(C(=O)NC(C)(C)C)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,5.18
CC(C)(C)NC(=O)Cn1c(C(C)(C)C)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,6.24
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,4.824999999999999
CC(C)(C)OC(=O)N1CC[C@@H]2[C@@H](c3ccsc3)Nc3c(ccc4c3CCCC4)[C@@H]21,5.43
CC(C)(C)OC(=O)N1CC[C@@H]2[C@H](c3ccco3)Nc3c(ccc4c3CCCC4)[C@@H]21,5.82
CC(C)(C)OC(=O)N1CC[C@@H]2[C@H](c3ccsc3)Nc3c(ccc4c3CCCC4)[C@@H]21,5.08
CC(C)(C)OC(=O)N1CC[C@@H]2[C@H]1c1ccc3c(c1N[C@H]2c1ccsc1)CCCC3,5.92
CC(C)(C)OC(=O)N1CC[C@H]2[C@@H](c3ccsc3)Nc3c(ccc4c3CCCC4)[C@H]21,5.5
CC(C)(C)c1cc(O)ccc1O,5.300000000000001
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,5.06
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,4.76
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(-c4cccnc4)c32)cc1,5.75
CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccc(C(F)(F)F)nc3Nc3cccc(-c4ncon4)c32)cc1,4.93
