SMILES,chembl_car_pchembl
COc1cccc(-c2nc3ccccc3c(=S)[nH]2)c1,5.6850000000000005
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,5.68
COc1nc(-c2cccc(Cl)c2)nc2ccccc12,5.16
COc1nc2ccc([C@@](O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,5.08
CS(=O)(=O)c1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,6.785
CSc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,6.76
CSc1nc(-c2cccc(C)c2)nc2ccccc12,4.98
C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3C[C@H](O)CC[C@]3(C)[C@H]1CC2,5.92
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,5.18
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,5.47
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,4.82
Cc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.31
Cc1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,6.36
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,4.89
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,6.26
Cc1cccc(-c2nc3ccccc3c(=S)[nH]2)c1,7.26
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl,7.2
Cc1cn2c(CNCCc3ccc(Cl)c(Cl)c3)c(-c3ccc(Cl)cc3)nc2s1,5.66
Clc1ccc(-c2nc3ccccn3c2-c2cc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,7.5
Clc1ccc(-c2nc3ccccn3c2-c2cccn2Cc2ccc(Cl)c(Cl)c2)cc1,6.865
Clc1ccc(-c2nc3ccccn3c2-c2cn(CCc3ccc(Cl)c(Cl)c3)nn2)cc1,6.475
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)c(Cl)c1,7.21
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,7.085000000000001
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccccc3)nn2)cc1,7.67
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccccn3)nn2)cc1,5.86
Clc1ccc(-c2nc3ccccn3c2-c2csc(Cc3ccc(Cl)c(Cl)c3)n2)cc1,6.62
Clc1ccc(-c2nc3ccccn3c2-c2nc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,6.52
