SMILES,chembl_ahr_pchembl
Cc1ccc(Nc2ncccc2C(N)=O)cc1,5.87
Cc1ccc([N+](=O)[O-])c2c1NC(c1ccc(Br)cc1)=NO2,5.47
Cc1ccc2c(c1)c1nc3ccccc3nc1n2C,6.0
Cc1ccc2cc3c(NC(=O)CC(C)C)nn(C)c3nc2c1,6.32
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.31
Cc1ccc2nc(-c3ccc(Br)cc3)[n+]([O-])n2c1,6.08
Cc1ccc[n+](CC(=O)c2ccc(Br)cc2)c1C.[Br-],5.17
Cc1cccc2c1ccc1cc(C(C)C)c3c(c12)O[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)[C@@H](c1ccc(O)c(O)c1)O3,5.96
Cc1cccc2c1ccc1cc(C(C)C)c3c(c12)O[C@@H](c1ccc(O)c(O)c1)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)O3,5.91
Cc1cccc2c1ccc1cc(C(C)C)c3c(c12)O[C@H](OC(=O)/C=C/c1ccc(O)c(O)c1)[C@H](c1ccc(O)c(O)c1)O3,5.86
Cc1cccc2c1ccc1cc(C(C)C)c3c(c12)O[C@H](c1ccc(O)c(O)c1)[C@H](OC(=O)/C=C/c1ccc(O)c(O)c1)O3,5.95
Cc1ccccc1-c1nc(-c2cccnc2)no1,5.76
Cc1ccccc1/N=N/c1ccc(NC(=O)c2ccnn2C)c(C)c1,6.5649999999999995
Cc1cnc(NC(=O)c2c(Cl)cnn2C)s1,5.23
Cc1csc(NC(=O)CSc2ccc3nnc(-c4ccncc4)n3n2)n1,4.92
Cc1csc(SCC(=O)Nc2ccc(Cl)cn2)n1,5.81
Cc1nc(Cl)sc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.8
Cc1nc(N)nc(Nc2ccc(Cl)cc2)c1Br,6.46
Cc1nc(NC2=NCN(CCCN3CCOCC3)CN2)nc2c(C)cccc12,4.92
Cc1nnc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)s1,6.13
Cl.Cl.Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C1=N\OCCN1CCNCC1,5.27
Cl.Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21,4.89
