SMILES,chembl_cyp3a4_pchembl
C/C(=C\COc1c2ccoc2cc2oc(=O)ccc12)CCC(OC(C)(C)C(O)CC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12)C(C)(C)O,6.89
C/C(=C\COc1c2ccoc2cc2oc(=O)ccc12)CC[C@@H](O)C(C)(C)O,5.945
C/C(=C\COc1ccc2ccc(=O)oc2c1)C/C=C/C(C)C,4.37
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,5.43
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],4.85
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,5.4
C/C(=N/NC(=O)c1ccc(C)s1)c1cccc(NC(=O)COc2ccc(Cl)cc2C)c1,5.95
C/C(=N/NC(=O)c1ccncc1)c1ccccc1Cl,5.4
C/C(=N/NS(=O)(=O)c1ccc(C)cc1)c1cccc(NC(=O)c2cccc(Cl)c2)c1,5.85
C/C(=N/Nc1ccc2ccccc2n1)c1ccccc1O,5.5
C/C(=N\N1CCN(C2c3ccccc3-c3ccccc32)CC1)c1cccnc1,5.55
C/C(=N\N1CCN(C2c3ccccc3-c3ccccc32)CC1)c1ccncc1,6.0
C/C(=N\N=C(c1ccccc1)c1ccccc1)c1cccs1,4.85
C/C(=N\NC(=O)C1CC1c1ccccc1)c1cccs1,5.05
C/C(=N\NC(=O)CC1N=C(Cc2ccccc2)NNC1=O)c1ccc(Cl)cc1Cl,5.9
C/C(=N\NC(=O)COc1ccc([N+](=O)[O-])cc1)C(C)(C)C,4.55
C/C(=N\NC(=O)CSCc1ccc(Cl)cc1)c1ccc2c(c1)OCCO2,4.85
C/C(=N\NC(=O)Cc1ccc(Cl)cc1)c1ccccn1,4.85
C/C(=N\NC(=O)c1[nH]c2c([N+](=O)[O-])cc(C)cc2c1-c1ccccc1)c1cccnc1,5.95
C/C(=N\NC(=O)c1ccc(Br)cc1)c1ccccc1,4.8
C/C(=N\NC(=O)c1ccc(Cl)cc1)c1ccc(Br)s1,4.85
C/C(=N\NC(=O)c1ccc(Cl)cc1)c1cccc(NC(=O)C(C)C)c1,4.8
C/C(=N\NC(=O)c1cccc(Br)c1)c1ccc(Br)cc1,4.55
C/C(=N\NC(=O)c1cccc(Cl)c1)c1cccc(NC(=O)C(C)C)c1,4.8
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,5.58
C/C(=N\NC(=O)c1ccncc1)c1ccc2ccccc2c1O,5.4
C/C(=N\NC(=S)Nc1ccc(F)cc1)C1CC1,4.85
C/C(=N\NC(=S)Nc1cccc(C)c1)c1ccccc1,5.05
C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1cccc(N)c1,5.45
C/C(=N\Nc1nc(-c2ccc(C)cc2)nc2ccccc12)c1ccc([N+](=O)[O-])cc1,4.85
C/C(=N\Nc1nc(N)cc(Cl)n1)c1cccc([N+](=O)[O-])c1,4.85
